VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
344020,San Cristobal,22311,Confirmed Eruption,Historical Observations,1,3/4/2019,3/4/2019,12.702,-87.004
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,Historical Observations,0,2/18/2019,3/10/2019,-21.244,55.708
263310,Tengger Caldera,22306,Confirmed Eruption,Historical Observations,2,2/18/2019,7/28/2019,-7.942,112.95
300130,Karymsky,22309,Confirmed Eruption,Historical Observations,2,2/16/2019,9/24/2019,54.049,159.443
345040,Poas,22303,Confirmed Eruption,Historical Observations,2,2/7/2019,9/30/2019,10.2,-84.233
261080,Sinabung,22316,Confirmed Eruption,Historical Observations,4,2/6/2019,6/9/2019,3.17,98.392
256010,Tinakula,22313,Confirmed Eruption,Historical Observations,2,12/8/2018,8/19/2021,-10.386,165.804
267020,Karangetang,22294,Confirmed Eruption,Historical Observations,2,11/25/2018,8/6/2021,2.781,125.407
357040,Planchon-Peteroa,22297,Confirmed Eruption,Historical Observations,1,11/7/2018,5/7/2019,-35.223,-70.568
282050,Kuchinoerabujima,22296,Confirmed Eruption,Historical Observations,3,10/21/2018,2/3/2019,30.443,130.217
268060,Gamalama,22295,Confirmed Eruption,Historical Observations,1,10/4/2018,10/6/2018,0.8,127.33
266030,Soputan,22293,Confirmed Eruption,Historical Observations,3,10/2/2018,12/16/2018,1.112,124.737
260010,Barren Island,22292,Confirmed Eruption,Historical Observations,1,9/25/2018,7/29/2021,12.278,93.858
252120,Ulawun,22286,Confirmed Eruption,Historical Observations,2,9/21/2018,10/12/2018,-5.05,151.33
290240,Sarychev Peak,22288,Confirmed Eruption,Historical Observations,2,9/8/2018,10/15/2018,48.092,153.2
311060,Semisopochnoi,22289,Confirmed Eruption,Historical Observations,1,9/8/2018,10/31/2018,51.93,179.58
312070,Veniaminof,22290,Confirmed Eruption,Historical Observations,1,9/4/2018,12/23/2018,56.17,-159.38
290390,Alaid,22281,Confirmed Eruption,Historical Observations,1,8/20/2018,8/21/2018,50.861,155.565
352090,Sangay,22283,Confirmed Eruption,Historical Observations,2,8/8/2018,12/7/2018,-2.005,-78.341
345020,Rincon de la Vieja,22282,Confirmed Eruption,Historical Observations,1,7/28/2018,6/11/2019,10.83,-85.324
284096,Nishinoshima,22280,Confirmed Eruption,Historical Observations,1,7/12/2018,7/21/2018,27.247,140.874
233005,Mayotte,22337,Confirmed Eruption,Seismicity,0,7/3/2018,8/20/2019,-12.83,45.17
353050,"Negra, Sierra",22279,Confirmed Eruption,Historical Observations,2,6/26/2018,8/23/2018,-0.83,-91.17
344040,Telica,22277,Confirmed Eruption,Historical Observations,1,6/21/2018,8/15/2018,12.606,-86.84
262000,Krakatau,22275,Confirmed Eruption,Historical Observations,3,6/18/2018,4/17/2020,-6.102,105.423
353010,Fernandina,22278,Confirmed Eruption,Historical Observations,1,6/16/2018,6/21/2018,-0.37,-91.55
311120,Great Sitkin,22276,Confirmed Eruption,Historical Observations,1,6/10/2018,8/11/2018,52.076,-176.13
252120,Ulawun,22285,Confirmed Eruption,Historical Observations,1,6/8/2018,6/8/2018,-5.05,151.33
